id,type,name,creator,starring,year,rating,time,genres,country,describle
80097691,Movie,The Monkey King 2,,"Aaron Kwok, Gong Li, Feng Shaofeng",2016,TV-PG,118 min,"Martial Arts Movies ,Movies Based on Books ,Action & Adventure Movies ",China,"After escaping the Mountain of Five Elements, the Monkey King accompanies the young monk who freed him on a dangerous quest to recover sacred scrolls."
80226333,Movie,Wu Kong,,"Eddie Peng, Shawn Yue, Ni Ni",2017,TV-14,123 min,"Martial Arts Movies ,Movies Based on Books ,Period Pieces ,Action & Adventure Movies ",China,"Seeking revenge for the destruction of his paradise, mythical monkey warrior Sun Wukong descends upon the immortal world to disrupt the heavenly order."
81710853,Movie,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,,"Miho Okasaki, Yuma Uchida, Riko Fukumoto",2022,TV-14,108 min,"Action Anime ,Movies Based on Books ,Fantasy Anime ,Action & Adventure Movies ,Anime Movies",Japan,"Believing he's the last Ogre survivor of the Orc massacres, Hiiro enters the service of Queen Towa of Raja and tries to lift a curse with Rimuru's help."
80214451,Movie,Along with the Gods: The Two Worlds,,"Ha Jung-woo, Cha Tae-hyun, Ju Ji-hoon",2017,TV-14,139 min,"Drama Movies ,Action & Adventure Movies",South Korea,"A firefighter dies and arrives in the afterlife, where Guardians take him through the seven trials and a perilous journey through different hells."
81386963,Movie,The Yin-Yang Master: Dream Of Eternity,,"Mark Chao, Deng Lun, Wang Ziwen",2021,TV-14,132 min,"Mystery Movies ,Movies Based on Books ,Action & Adventure Movies ",China,"When a demonic serpent reawakens, the Yin-Yang Masters must solve a murder mystery and protect their realms from a dark conspiracy at the royal court."
81602834,Movie,Jujutsu Kaisen 0: The Movie,,"Megumi Ogata, Yuichi Nakamura, Koki Uchiyama",2021,TV-14,104 min,"Action Anime ,Fantasy Anime ,Action & Adventure Movies ,Anime Movies",Japan,"A despondent high school student enrolls in Jujutsu High so he can break the violent curse haunting him, in this prequel to the ""Jujutsu Kaisen"" series."
81504698,Movie,Green Snake,,"Tang Xiaoxi, Zhang Fuzheng, Wei Chao",2021,TV-PG,133 min,"Adult Animation ,Action & Adventure Movies ",China,"While trying to free her sister from Fahai's clutches, Xiao Qing winds up in a dystopian city and meets a mysterious man who can't recall his past life."
80226424,Movie,Psychokinesis,,"Ryu Seung-ryong, Shim Eun-kyung, Park Jeong-min",2018,TV-14,101 min,"Sci-Fi Movies ,Comedy Movies ,Action & Adventure Movies",South Korea,"Suddenly possessed with supernatural powers, a father sets out to help his estranged daughter, who's at risk of losing everything she's lived for."
81441310,Movie,The Lost Dragod,,"Van Veronica Ngo, Petey Majik Nguyen, Lê Khánh",2015,TV-PG,99 min,"Romantic Comedy Movies ,Comedy Movies ,Romantic Movies ,Action & Adventure Movies",Vietnam,"On a trip down to Earth in search of a lost Dragon Prince who will protect their realm from evil, two fairies experience what it's like to be human."
81613633,Movie,Leio,,"Golf Pichaya Nitipaisankul, Dhanantorn Neerasingh, Natthacha De Souza",2022,TV-14,108 min,Action & Adventure Movies,Thailand,A disgraced pop star returns home for a funeral and agrees to enter a water-drilling contest — on cursed land — to save his drought-stricken hometown.
